judge id,R_3MMV16tlEg5mPfo,R_10xfP6qQsG4YJ0B,R_1LNLUNmSgGtujIX,R_1mjUwPisBSab6Xx,R_9nwYBZmXorKUCD7,R_1pKwOZvPuBJolUg,R_9mfyLzqmQ7qXvZD,R_1H6OdPefE3ubEH4,R_3k6UYN56Ox3HOHY,R_1PRX7GjClvimkop,R_1jV9oNnBUT88oqi,R_2AExqzshzf3qC1F,R_2SpZ8EiRsUy9WOo,R_s4NG5GTzEZ8bx7j,R_ah521l1C2cfrbBn,R_2dFOG2fjssFaDlE,R_3JgXb2y6z5myWXc,R_2OI33dIQHCetQ0w,R_3p4ozs26mLTtS3u,R_3kcRtjs7Hnbx0X1,R_1Ln6I4PLDl3mddQ,R_1n7q8PNfmcYOloJ,R_ueLTNgngOxNqUo1,R_2VsjcnmX7eJTrF7,R_29tPTrsVJRd0WrY,R_2pLVHP7JYn4kpzJ,R_1P7ZgvgYG5696sg,R_31c7lJBBpBCe9ty,R_1QMg77KJWZrm1zP,R_1P0Fcu2jhVDwoTu,R_sYkyU1G1zUumWJj,R_21HvIc7qlSX11ZM,R_2YJQ5wjXFH7CR00,R_1dd9HbiNuiisl2g,R_1jUqFwzdkkBc41C,R_2xRcNtQm4xteO81,R_AB9p5276nWIr3MZ,R_2V3g6b2AtJYS808,R_VUVAOFX7yeE6ryp,R_XMIGl4PTMKC9LUJ,R_2t8MIvu2t2dsdVv,R_3qO5lNRyIBHOTag,R_1FKVWTrGOsew0eo,R_0qXSyQfoqqn4wGl,R_31M1qBjJC08C8Xu,R_3FV89BXpkghpNyE,R_2pY6s13N4pylG4l
R_1NlZzLuMAi0lNSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_pEhaU3zHCWpiqtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
R_O3H3N0yWcUcr15L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
R_2xLiXZz1uMnejOB,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2TBGCsAXIxLY2rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_1F4WchotMq6BFxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
R_DTXevMv7I4fKgHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_3G9cRCmCl2VRmGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,
sub2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
R_11ZpuxAFPqzZ9hZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
R_1lioJ9XhWjTLdBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
R_Xjtp4doKGbcvrwZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,
R_3fViveG8nkR7BfN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
R_1rBWSpDLIN64U3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
R_3DqLozMG3gJPs98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Y086uFUc9phbBVn,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,,,,,,
R_1qevB7zA7EbES4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_Zw0948isZQPDPQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_2dmQS4dtNsX2Wsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xxTyaVDFnDzpjt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,
R_2zILlra0PPGDich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,0.0,,
R_1GKByJF21YLjuqR,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1my3e4wN6pbXyBd,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22WwaiNAJLMzNSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2adDNU27ZFNERxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DwC72wHvEepo2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_uy8BevuRxhBX1pD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b9oVefeOBElXgGJ,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1i5wI6uoVUMnj43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2t51HNRRbNVGcA3,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_73Wog6lgZI571uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QQzROtDVjtNzJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rANHDWIJ6SmhXO,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
R_3h4Pu7PsHMWGw3q,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,
