judge id,R_1FKugNv4X226c4D,R_2QMNyq5txUsv9K8,R_26m6UiXHcCsj8WD,R_31cQynw7ijFfY5H,R_3D0lo7gQevr6aPB,R_1DO2CdUFbRU5Lm9,R_9MK0yGmMyvRnofn,R_bpSl9UQAeht0GHf,R_3shU3hGqUO9PJ0x,R_1isVrfIwQiB0w0C,R_2DP9r8DDq8rvgmN,R_qJBa68ifKGmKRwd,R_6WLX42XY5FGQGDn,R_29mMkji2Wnfxn1g,R_2QSd70cu3D9qgt2,R_6FfIbNoFM3xacSJ,R_C9O5ID069heJeHn,R_9t4F3K7VrtOzD0d,R_22mnvmksG5DApzR,R_1FeSKtG5EfWqgeZ,R_6qToDVshodf04ed,R_24k0lyzr8tVWtbG,R_2AXrYLGWgR9kQgy,R_3NUKPoeqgj36WGQ,R_Z8CZ98s88RNc2WJ,R_2VHGaqExVYrgODK,R_1mygmhObIpIDAhg,R_2coyLEw4CRgumZc,R_xzaBraIsto7E0Rb,R_32PjbocnctE0SJt,R_3e98jjoCKWxz387,R_oY3mYA6ykX2NCLv,R_2S7fpDi2ArVVO4Y,R_2azPtAMlz9152MU,R_2CUh29dNcsq2gqv,R_5i62j3TESkuLS8x,R_Ug8bi9HsOPTFDa1,R_eROZAqRHy9lbqT3,R_1r0Nb9YyJSRjbrj,R_d3Z9P1bioEoxc6R,R_2UYQhQbwq1RrBUK,R_z0i36bUoEAu9TP3,R_24o4tMC8EuA0n1x,R_1jBejsKdN7j1Q00,R_aaey8wxcdDwYpTr,R_2TufKLBP4Ojobzm,R_vou2BCXk3IgQz4J
R_1fZURRehZWBnT7x,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NlZzLuMAi0lNSW,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_pEhaU3zHCWpiqtz,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_O3H3N0yWcUcr15L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
R_2xLiXZz1uMnejOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_2TBGCsAXIxLY2rf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_1F4WchotMq6BFxg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
R_DTXevMv7I4fKgHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,
R_3G9cRCmCl2VRmGW,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
sub2,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
R_11ZpuxAFPqzZ9hZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,
R_1lioJ9XhWjTLdBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
R_Xjtp4doKGbcvrwZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,
R_3fViveG8nkR7BfN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
R_1rBWSpDLIN64U3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
R_3DqLozMG3gJPs98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_Y086uFUc9phbBVn,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
R_1qevB7zA7EbES4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_Zw0948isZQPDPQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
R_2dmQS4dtNsX2Wsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2xxTyaVDFnDzpjt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,
R_2zILlra0PPGDich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,
R_1GKByJF21YLjuqR,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1my3e4wN6pbXyBd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22WwaiNAJLMzNSY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2adDNU27ZFNERxf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1DwC72wHvEepo2f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_uy8BevuRxhBX1pD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_b9oVefeOBElXgGJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
R_1i5wI6uoVUMnj43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
R_2t51HNRRbNVGcA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_73Wog6lgZI571uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3QQzROtDVjtNzJ8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rANHDWIJ6SmhXO,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
R_3h4Pu7PsHMWGw3q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
